stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
47547,47547,SAN PEDRO & BASSE,,29.488722,-98.499293,,,,,,0
48626,48626,BYNUM & S.W. MILITARY DR.,Bynum St & Price Ave,29.359343,-98.561735,0,,,,,0
48727,48727,Bynum btwn. Price & S.W. Military,,29.359562,-98.56178,,,,,,0
49517,49517,WEST AVE. OPPOSITE BASSE,,29.488586,-98.526009,,,,,,0
52236,52236,FIVE PALMS & RAY ELLISON,,29.356771,-98.615548,,,,,,0
52237,52237,FIVE PALMS & RAY ELLISON,,29.356519,-98.615609,,,,,,0
52247,52247,CINNAMON HILL OPPOSITE CINNAMON TR,,29.528526,-98.582254,,,,,,0
52386,52386,CUPPLES & KIRK,Cupples Rd & Weir Ave,29.398629,-98.54899,,,,,,0
53977,53977,S. NEW BRAUNFELS & S.E. MILITARY,,29.353255,-98.448641,,,,,,0
55376,55376,S. HACKBERRY & RIGSBY,S Hackberry St & Rigsby Ave,29.39842,-98.473377,,,,,,0
55479,55479,INEZ & N.W. 36TH,,29.441557,-98.570449,,,,,,0
56187,56187,S. ZARZAMORA & S.W. MILITARY DR.,,29.356851,-98.534297,,,,,,0
56389,56389,Rigsby btwn Odessa & W.W. White,,29.398399,-98.402836,0,,,,,0
57663,57663,KIRK & S. ZARZAMORA,,29.397016,-98.531537,,,,,,0
57679,57679,FRIO CITY RD. & S. ZARZAMORA (KIRK),,29.39717,-98.530857,,,,,,0
58367,58367,HARRY WURZBACH & RITTIMAN,,29.485939,-98.430213,,,,,,0
58376,58376,HARRY WURZBACH & RITTIMAN,,29.48469,-98.430168,,,,,,0
66346,66346,HUEBNER & BABCOCK,,29.523261,-98.600282,,,,,,0
67159,67159,SE MILITARY DR & CITY BASE LANDING,,29.351835,-98.434802,,,,,,0
68887,68887,MAIN & SAN PEDRO,,29.434183,-98.494184,,,,,,0
69419,69419,RUIZ & N. ZARZAMORA,,29.43638,-98.525782,,,,,,0
71613,71613,W COMMERCE & SAN AUGUSTINE,,29.43085,-98.554991,,,,,,0
72463,72463,FRESNO & I-10 W ACCESS RD.,,29.474308,-98.515846,0,,,,,0
72466,72466,FIVE PALMS & PEARSALL,,29.345861,-98.614644,,,,,,0
72746,72746,NACOGDOCHES & LOOP 410 EAST,,29.515273,-98.452648,,,,,,0
73247,73247,WAR CLOUD OPPOSITE LITTLE BEAR,,29.346903,-98.611815,,,,,,0
74853,74853,W COMMERCE & SW 24TH,,29.42955,-98.542615,,,,,,0
74856,74856,S.W. 24TH & W. COMMERCE,,29.429396,-98.542584,,,,,,0
74859,74859,W COMMERCE & NW 24TH,,29.429696,-98.543145,,,,,,0
76646,76646,FRIO & MARTIN,,29.430794,-98.503378,,,,,,0
76753,76753,MARTIN & FRIO,,29.429918,-98.503573,,,,,,0
76773,76773,MARTIN OPP LEONA,W Martin St & N Frio St,29.42979,-98.502302,0,,,,,0
77723,77723,MALONE & LANCASTER,,29.38692,-98.501705,,,,,,0
79626,79626,N. NEW BRAUNFELS & HAYS,N New Braunfels Ave & Hays St,29.430111,-98.460974,,,,,,0
79973,79973,PECAN & ST. MARY'S,,29.42863,-98.491383,,,,,,0
82516,82516,CALLAGHAN & PINEBROOK,Callaghan Rd & Unnamed,29.512434,-98.551276,,,,,,0
82586,82586,ROOSEVELT & EADS,,29.383159,-98.483487,,,,,,0
82849,82849,WALZEM & WINDWAY,Walzem Rd & Patriot Dr,29.510371,-98.387694,,,,,,0
84139,84139,OLD SEGUIN RD & GIBBS SPRAWL (ACKERMAN),Old Seguin Rd & Ackermann Rd,29.471228,-98.381059,,,,,,0
85269,85269,FREDERICKSBURG RD. & DATA POINT,,29.514098,-98.570294,,,,,,0
85279,85279,NOLAN & N. HACKBERRY,,29.427585,-98.473146,,,,,,0
86236,86236,PLEASANTON RD. OPPOSITE TERESA,,29.385584,-98.503538,,,,,,0
86237,86237,PLEASANTON RD. & TERESA,,29.385602,-98.503589,,,,,,0
86943,86943,E. HOUSTON & KENMAR,,29.424116,-98.406525,,,,,,0
87266,87266,BROADWAY IN FRONT OF 8318,,29.514409,-98.465685,,,,,,0
87267,87267,BROADWAY & CITADEL PLAZA,,29.513751,-98.465964,,,,,,0
87956,87956,SAN PEDRO & RIDGEWOOD,San Pedro Ave & W Ridgewood Ct,29.46693,-98.49922,,,,,,0
88289,88289,W COMMERCE & N ZARZAMORA,,29.428178,-98.526797,,,,,,0
